ticker,contribution_pp,months_held,date_added_to_index
UAL,0.009694841772804146,1,2015-09-03
PSX,0.0006842987384447774,1,2012-05-01
SWKS,0.00038016381791313353,1,2015-03-12
FOX,-0.0012052914370116092,1,2019-03-19
PYPL,-0.00325655370441047,1,2015-07-20
MSFT,-0.0036505504009543,1,1994-06-01
CBOE,-0.004513419487982924,3,2017-03-01
A,-0.019937005563810027,1,2000-06-05
SPGI,-0.023142060930834152,1,1957-03-04
JBHT,-0.028846215505289687,1,2015-07-01
ELV,-0.028906370674711693,2,2002-07-25
WFC,-0.03471364866619845,1,1976-06-30
AMT,-0.04345344833087644,3,2007-11-19
RTX,-0.048887018893630785,1,1957-03-04
GPN,-0.051882581489907084,2,2016-04-25
GIS,-0.05991133008099835,1,1957-03-04
DELL,-0.060392492770321424,3,2024-09-23
AWK,-0.06315708696058613,2,2016-03-04
PSA,-0.06353269592218713,1,2005-08-19
HAL,-0.06481965291637137,1,1957-03-04
COO,-0.06561648557581197,1,2016-09-23
KEYS,-0.06639882008892466,2,2018-11-06
WTW,-0.07208329273815132,1,2016-01-05
ALLE,-0.0869986720836143,1,2013-12-02
BXP,-0.0892226973019572,1,2006-04-03
D,-0.08928359962637185,3,2016-11-30
XOM,-0.08954616640524549,1,1957-03-04
GWW,-0.10146948708534496,1,1981-06-30
SBAC,-0.10798483728671764,6,2017-09-01
EQT,-0.1084421933701359,1,2022-10-03
JKHY,-0.10900486553752013,1,2018-11-13
COR,-0.11096122727601893,2,2001-08-30
HSY,-0.11337303717150544,3,1957-03-04
ODFL,-0.11850407045409851,1,2019-12-09
AEE,-0.1276375548658885,1,1991-09-19
MAA,-0.14635171227126098,2,2016-12-02
HUM,-0.14707149161585656,5,2012-12-10
FDX,-0.1539046057131562,1,1980-12-31
CSGP,-0.17184763437361306,1,2022-09-19
ZTS,-0.18745848959108247,1,2013-06-21
NEM,-0.1915264317483012,2,1969-06-30
GEN,-0.1923071276164941,1,2003-03-25
ADM,-0.19653109931935653,5,1957-03-04
ARE,-0.20210484289945835,1,2017-03-20
WAT,-0.20265457160212036,1,2002-01-02
RF,-0.2071980931661125,1,1998-08-28
EL,-0.20863942610184544,4,2006-01-05
BMY,-0.21620328617724596,1,1957-03-04
ES,-0.23828269157235055,3,2009-07-24
CDW,-0.24270973920816008,2,2019-09-23
LHX,-0.25384886971329274,2,2008-09-22
CMG,-0.26709464784626213,4,2011-04-28
VTRS,-0.27596885246116104,1,2004-04-23
COP,-0.2821361564522236,1,1957-03-04
PANW,-0.2835827182811912,1,2023-06-20
NKE,-0.2997035872105665,3,1988-11-30
BAX,-0.3204007502048241,1,1972-09-30
CCL,-0.34209051526264594,2,1998-12-22
IBM,-0.3859463670730408,2,1957-03-04
ALGN,-0.3900208235892674,11,2017-06-19
NCLH,-0.39069345926525223,2,2017-10-13
AXP,-0.45780848687512904,3,1976-06-30
AMD,-0.47535781793247806,3,2017-03-20
LULU,-0.5401781208540387,4,2023-10-18
BF-B,-0.6079058207047342,4,1982-10-31
DG,-0.6246592789613838,8,2012-12-03
MPWR,-0.6928922847638298,2,2021-02-12
MU,-0.7792237750577102,6,1994-09-27
ULTA,-0.8327776567747348,2,2016-04-18
CCI,-0.8504308611610578,3,2012-03-14
BIIB,-0.9019171669532833,12,2003-11-13
REGN,-0.9169823673130699,3,2013-05-01
BA,-1.0835090272936474,6,1957-03-04
DXCM,-1.1120001127817947,7,2020-05-12
DLTR,-1.261706435107281,3,2011-12-19
ALB,-1.9711680597047754,10,2016-07-01
SMCI,-2.7144117314672123,6,2024-03-18
MRNA,-3.436994648247243,12,2021-07-21
