,ic
2023-06-30,0.22564060589270674
2023-07-31,-0.0667363448876054
2023-08-31,0.07768191464284722
2023-09-29,-0.08760726030297515
2023-10-31,0.10891521038881984
2023-11-30,0.0552938410295044
2023-12-29,-0.05482372582690011
2024-01-31,-0.07804991972372433
2024-02-29,0.06404235645934643
2024-03-28,-0.09368214962874424
2024-04-30,-0.0819792369802527
2024-05-31,0.034240759800729
2024-06-28,0.01702625691978726
2024-07-31,-0.03666215358855116
2024-08-30,0.09391453930629408
2024-09-30,-0.10397978365223874
2024-10-31,-0.24769298848708116
2024-11-29,0.03875158137153392
